NOME_PRODUTO;CATEGORIA_REGULATORIA;CLASSE_TERAPEUTICA;PRINCIPIO_ATIVO;EMPRESA_DETENTORA_REGISTRO
ATGAM;Biológico;AGENTE IMUNOSUPRESSOR;SORO ANTITIMÓCITO (EQUINO) ;PFIZER BRASIL LTDA
EPYSQLI;Biológico;AGENTE IMUNOSUPRESSOR;eculizumabe;SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
HERCULIZ;Biológico;AGENTE IMUNOSUPRESSOR;eculizumabe;BIONOVIS S.A.
OMVOH;Biológico;AGENTE IMUNOSUPRESSOR;MIRIQUIZUMABE;ELI LILLY DO BRASIL LTDA
BLAUTOX;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;BLAU FARMACÊUTICA S.A.
BOTOX;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;ABBVIE FARMACÊUTICA LTDA.
BOTULIFT;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
BOTULIM;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;BLAU FARMACÊUTICA S.A.
DYSPORT;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;BEAUFOUR IPSEN FARMACÊUTICA LTDA
LETYBO;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;GLOBAL REGULATORY PARTNERS BRASIL LTDA
NABOTA;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA
XEOMIN;Biológico;AGENTE PARALISANTE NEUROMUSCULAR;toxina botulínica A;MERZ FARMACÊUTICA COMERCIAL LTDA
ELOVIE;Biológico;AGENTES ANTINEOPLÁSICOS;BEVACIZUMABE;LIBBS FARMACÊUTICA LTDA
OPDUALAG;Biológico;AGENTES ANTINEOPLÁSICOS;nivolumabe, RELATLIMABE;BRISTOL
PADCEV;Biológico;AGENTES ANTINEOPLÁSICOS;ENFORTUMABE VEDOTINA;PFIZER BRASIL LTDA
TEVIMBRA;Biológico;AGENTES ANTINEOPLÁSICOS;TISLELIZUMABE;BEONE MEDICINES BRASIL LTDA
ZYNLONTA;Biológico;AGENTES ANTINEOPLÁSICOS;LONCASTUXIMABE TESIRINA;PINT PHARMA PRODUTOS MEDICO
